case_id	feature	gene_name
PASUCB	dna_repair.POS.5	dna_repair
PASUYG	dna_repair.NEG.1	dna_repair
PASVRU	dna_repair.POS.7	dna_repair
PASWFB	dna_repair.POS.1	dna_repair
PASWVY	dna_repair.POS.5	dna_repair
PASXGP	dna_repair.POS.5	dna_repair
PASZPI	dna_repair.POS.1	dna_repair
PATDWN	dna_repair.NEG.3	dna_repair
PATDXG	dna_repair.POS.10	dna_repair
PATEKG	dna_repair.NEG.9	dna_repair
PATEPF	dna_repair.POS.11	dna_repair
PATESI	dna_repair.POS.4	dna_repair
PATFCY	dna_repair.POS.7	dna_repair
PATFXV	dna_repair.NEG.3	dna_repair
PATHVK	dna_repair.POS.3	dna_repair
PATINJ	dna_repair.OUTLIER	dna_repair
PANXJL	dna_repair.NEG.6	dna_repair
PAPLSD	dna_repair.POS.2	dna_repair
PAPTFZ	dna_repair.NEG.2	dna_repair
PAPTLV	dna_repair.NEG.11	dna_repair
PAPVRN	dna_repair.NEG.13	dna_repair
PAKZRH	dna_repair.POS.9	dna_repair
PANZRV	dna_repair.NEG.8	dna_repair
PAPICY	dna_repair.NEG.1	dna_repair
PAPTDH	dna_repair.NEG.8	dna_repair
PARFRE	dna_repair.POS.2	dna_repair
PARJVP	dna_repair.NEG.9	dna_repair
PARNNC	dna_repair.NEG.9	dna_repair
PARZHA	dna_repair.POS.5	dna_repair
PASCFC	dna_repair.NEG.10	dna_repair
PASCTR	dna_repair.NEG.5	dna_repair
PASJZC	dna_repair.NEG.7	dna_repair
PASMDM	dna_repair.NEG.16	dna_repair
PASNML	dna_repair.NEG.2	dna_repair
PASPBZ	dna_repair.NEG.4	dna_repair
PASUML	dna_repair.NEG.4	dna_repair
PASZKE	dna_repair.POS.4	dna_repair
PATAYJ	dna_repair.NEG.3	dna_repair
PATGJU	dna_repair.NEG.14	dna_repair
PATHKB	dna_repair.POS.2	dna_repair
PASGAP	dna_repair.NEG.6	dna_repair
PASHFA	dna_repair.POS.4	dna_repair
PARBAJ	dna_repair.NEG.7	dna_repair
PARHAM	dna_repair.NEG.8	dna_repair
PASNPG	dna_repair.NEG.6	dna_repair
PASYPX	dna_repair.OUTLIER	dna_repair
PATYIL	dna_repair.NEG.3	dna_repair
PAUDDK	dna_repair.NEG.1	dna_repair
PALNVP	dna_repair.NEG.4	dna_repair
PALXTB	dna_repair.NEG.2	dna_repair
PAMNLH	dna_repair.OUTLIER	dna_repair
PANNMS	dna_repair.POS.11	dna_repair
PAPEAV	dna_repair.OUTLIER	dna_repair
PAISNS	dna_repair.POS.9	dna_repair
PASNEF	dna_repair.POS.12	dna_repair
PASSRN	dna_repair.NEG.8	dna_repair
PASWIJ	dna_repair.NEG.11	dna_repair
PATDXC	dna_repair.POS.6	dna_repair
PALBFW	angiogenesis.POS.4	angiogenesis
PALWVJ	angiogenesis.POS.8	angiogenesis
PALETP	angiogenesis.NEG.7	angiogenesis
PALIIN	angiogenesis.NEG.10	angiogenesis
PALKUC	angiogenesis.POS.16	angiogenesis
PALUYS	angiogenesis.NEG.6	angiogenesis
PALVKK	angiogenesis.POS.14	angiogenesis
PAMBMJ	angiogenesis.POS.5	angiogenesis
PALZZV	angiogenesis.NEG.14	angiogenesis
PAMEZH	angiogenesis.POS.6	angiogenesis
PAMMXF	angiogenesis.POS.7	angiogenesis
PAMVRA	angiogenesis.NEG.7	angiogenesis
PANBJH	angiogenesis.NEG.12	angiogenesis
PAMZMG	angiogenesis.POS.6	angiogenesis
PANBSP	angiogenesis.NEG.11	angiogenesis
PANUKV	angiogenesis.NEG.14	angiogenesis
PANYGR	angiogenesis.NEG.5	angiogenesis
PAPBGH	angiogenesis.NEG.4	angiogenesis
PAPKWN	angiogenesis.POS.16	angiogenesis
PAIVHE	angiogenesis.POS.12	angiogenesis
PAITEG	angiogenesis.POS.16	angiogenesis
PAKYZS	angiogenesis.POS.12	angiogenesis
PAITCI	angiogenesis.NEG.3	angiogenesis
PAPEFE	angiogenesis.POS.3	angiogenesis
PAIXIF	angiogenesis.POS.14	angiogenesis
PALCBW	angiogenesis.POS.12	angiogenesis
PALTEG	angiogenesis.POS.10	angiogenesis
PAMYCE	angiogenesis.POS.14	angiogenesis
PAMZGT	angiogenesis.POS.17	angiogenesis
PANGXK	angiogenesis.POS.12	angiogenesis
PANJLH	angiogenesis.POS.16	angiogenesis
PANKFE	angiogenesis.POS.13	angiogenesis
PANZPV	angiogenesis.POS.3	angiogenesis
PANZVU	angiogenesis.NEG.5	angiogenesis
PAPBZI	angiogenesis.NEG.7	angiogenesis
PANBMJ	angiogenesis.POS.4	angiogenesis
PAPHPE	angiogenesis.NEG.12	angiogenesis
PAIPGU	angiogenesis.POS.9	angiogenesis
PALEVG	angiogenesis.NEG.4	angiogenesis
PANRHJ	angiogenesis.POS.6	angiogenesis
PAPUAR	angiogenesis.NEG.15	angiogenesis
PAPUEB	angiogenesis.NEG.15	angiogenesis
PAPUNH	angiogenesis.NEG.11	angiogenesis
PAPZYP	angiogenesis.POS.10	angiogenesis
PARACM	angiogenesis.POS.6	angiogenesis
PANRRW	angiogenesis.NEG.7	angiogenesis
PANLET	angiogenesis.NEG.12	angiogenesis
PANRVJ	angiogenesis.POS.14	angiogenesis
PANSBN	angiogenesis.POS.11	angiogenesis
PANUIF	angiogenesis.POS.8	angiogenesis
PANWRR	angiogenesis.NEG.6	angiogenesis
PAPBJE	angiogenesis.POS.15	angiogenesis
PAPCTS	angiogenesis.NEG.9	angiogenesis
PAPKXS	angiogenesis.NEG.15	angiogenesis
PAPTAN	angiogenesis.POS.15	angiogenesis
PAPTCR	angiogenesis.POS.15	angiogenesis
PAPUWY	angiogenesis.NEG.6	angiogenesis
PAPVFD	angiogenesis.NEG.16	angiogenesis
PAPVXS	angiogenesis.NEG.8	angiogenesis
PAPZYZ	angiogenesis.POS.17	angiogenesis
PARACS	angiogenesis.NEG.3	angiogenesis
PARAMT	angiogenesis.NEG.8	angiogenesis
PARBGP	angiogenesis.NEG.17	angiogenesis
PARDIW	angiogenesis.NEG.9	angiogenesis
PARFWB	angiogenesis.NEG.11	angiogenesis
PARDCK	angiogenesis.NEG.4	angiogenesis
PARGKK	angiogenesis.POS.3	angiogenesis
PARKGJ	angiogenesis.POS.15	angiogenesis
PARSBI	angiogenesis.POS.9	angiogenesis
PAIFXV	angiogenesis.POS.12	angiogenesis
PARVLK	angiogenesis.POS.8	angiogenesis
PARYNK	angiogenesis.NEG.11	angiogenesis
PARZIP	angiogenesis.NEG.13	angiogenesis
PASEGA	angiogenesis.NEG.11	angiogenesis
PASFGG	angiogenesis.NEG.4	angiogenesis
PASGUT	angiogenesis.NEG.16	angiogenesis
PASMJG	angiogenesis.POS.13	angiogenesis
PASMNT	angiogenesis.NEG.16	angiogenesis
PASNZU	angiogenesis.NEG.10	angiogenesis
PASPER	angiogenesis.NEG.12	angiogenesis
PASRFS	angiogenesis.NEG.17	angiogenesis
PASSRS	angiogenesis.NEG.10	angiogenesis
PASTCN	angiogenesis.NEG.2	angiogenesis
PASTKC	angiogenesis.POS.9	angiogenesis
PASUCB	angiogenesis.NEG.8	angiogenesis
PASUYG	angiogenesis.NEG.9	angiogenesis
PASVRU	angiogenesis.NEG.9	angiogenesis
PASWFB	angiogenesis.NEG.10	angiogenesis
PASWVY	angiogenesis.NEG.15	angiogenesis
PASXGP	angiogenesis.NEG.16	angiogenesis
PASZPI	angiogenesis.POS.9	angiogenesis
PATDWN	angiogenesis.NEG.3	angiogenesis
PATDXG	angiogenesis.NEG.9	angiogenesis
PATEKG	angiogenesis.POS.9	angiogenesis
PATEPF	angiogenesis.NEG.13	angiogenesis
PATESI	angiogenesis.NEG.6	angiogenesis
PATFCY	angiogenesis.NEG.2	angiogenesis
PATFXV	angiogenesis.POS.4	angiogenesis
PATHVK	angiogenesis.POS.1	angiogenesis
PATINJ	angiogenesis.NEG.11	angiogenesis
PANXJL	angiogenesis.POS.16	angiogenesis
PAPLSD	angiogenesis.POS.4	angiogenesis
PAPTFZ	angiogenesis.NEG.5	angiogenesis
PAPTLV	angiogenesis.POS.16	angiogenesis
PAPVRN	angiogenesis.POS.11	angiogenesis
PAKZRH	angiogenesis.NEG.2	angiogenesis
PANZRV	angiogenesis.NEG.1	angiogenesis
PAPICY	angiogenesis.POS.1	angiogenesis
PAPTDH	angiogenesis.POS.17	angiogenesis
PARFRE	angiogenesis.NEG.3	angiogenesis
PARJVP	angiogenesis.NEG.11	angiogenesis
PARNNC	angiogenesis.POS.4	angiogenesis
PARZHA	angiogenesis.NEG.13	angiogenesis
PASCFC	angiogenesis.NEG.9	angiogenesis
PASCTR	angiogenesis.POS.3	angiogenesis
PASJZC	angiogenesis.NEG.1	angiogenesis
PASMDM	angiogenesis.POS.12	angiogenesis
PASNML	angiogenesis.NEG.13	angiogenesis
PASPBZ	angiogenesis.NEG.6	angiogenesis
PASUML	angiogenesis.NEG.4	angiogenesis
PASZKE	angiogenesis.NEG.6	angiogenesis
PATAYJ	angiogenesis.NEG.8	angiogenesis
PATGJU	angiogenesis.POS.13	angiogenesis
PATHKB	angiogenesis.NEG.8	angiogenesis
PASGAP	angiogenesis.POS.12	angiogenesis
PASHFA	angiogenesis.POS.4	angiogenesis
PARBAJ	angiogenesis.POS.8	angiogenesis
PARHAM	angiogenesis.POS.8	angiogenesis
PASNPG	angiogenesis.POS.2	angiogenesis
PASYPX	angiogenesis.NEG.12	angiogenesis
PATYIL	angiogenesis.NEG.2	angiogenesis
PAUDDK	angiogenesis.POS.15	angiogenesis
PALNVP	angiogenesis.NEG.2	angiogenesis
PALXTB	angiogenesis.POS.3	angiogenesis
PAMNLH	angiogenesis.NEG.12	angiogenesis
PANNMS	angiogenesis.NEG.11	angiogenesis
PAPEAV	angiogenesis.NEG.2	angiogenesis
PAISNS	angiogenesis.NEG.5	angiogenesis
PASNEF	angiogenesis.NEG.16	angiogenesis
PASSRN	angiogenesis.POS.12	angiogenesis
PASWIJ	angiogenesis.POS.5	angiogenesis
PATDXC	angiogenesis.POS.5	angiogenesis
PALBFW	emt.NEG.7	emt
PALWVJ	emt.POS.13	emt
PALETP	emt.NEG.6	emt
PALIIN	emt.NEG.11	emt
PALKUC	emt.POS.18	emt
PALUYS	emt.NEG.8	emt
PALVKK	emt.POS.14	emt
PAMBMJ	emt.POS.10	emt
PALZZV	emt.NEG.15	emt
PAMEZH	emt.POS.4	emt
